# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.94, Γ₀=1.212766, m=0.164912, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=15.0 M☉/yr
# L_o=1.784e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 4.2658e+15 cm; τ_es(R) ≈ 1259
# r_in  (τ_es=100)  = 2.5087e+16 cm
# r_ph  (τ_es=1)    = 2.0505e+18 cm
# r_out (=10×r_ph)  = 2.0505e+19 cm
# n_cells=300, T_core=4466 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
241  5.36256719e+18  1.24817414e+07  2.14326960e-19  10000.0
242  5.48378920e+18  1.24823329e+07  2.04946362e-19  10000.0
243  5.60775146e+18  1.24829244e+07  1.95976332e-19  10000.0
244  5.73451591e+18  1.24834509e+07  1.87398900e-19  10000.0
245  5.86414590e+18  1.24838707e+07  1.79199047e-19  10000.0
246  5.99670621e+18  1.24842905e+07  1.71358275e-19  10000.0
247  6.13226307e+18  1.24847102e+07  1.63860573e-19  10000.0
248  6.27088422e+18  1.24851300e+07  1.56690929e-19  10000.0
249  6.41263894e+18  1.24855499e+07  1.49834990e-19  10000.0
250  6.55759805e+18  1.24859697e+07  1.43279029e-19  10000.0
251  6.70583399e+18  1.24863895e+07  1.37009921e-19  10000.0
252  6.85742084e+18  1.24868094e+07  1.31015115e-19  10000.0
253  7.01243435e+18  1.24872293e+07  1.25282609e-19  10000.0
254  7.17095196e+18  1.24876491e+07  1.19800926e-19  10000.0
255  7.33305291e+18  1.24880690e+07  1.14559092e-19  10000.0
256  7.49881818e+18  1.24884890e+07  1.09546612e-19  10000.0
257  7.66833061e+18  1.24889089e+07  1.04753450e-19  10000.0
258  7.84167491e+18  1.24893288e+07  1.00170011e-19  10000.0
259  8.01893769e+18  1.24897488e+07  9.57871185e-20  10000.0
260  8.20020754e+18  1.24901688e+07  9.15959973e-20  10000.0
261  8.38557503e+18  1.24905887e+07  8.75882567e-20  10000.0
262  8.57513280e+18  1.24909670e+07  8.37558729e-20  10000.0
263  8.76897556e+18  1.24912127e+07  8.00919995e-20  10000.0
264  8.96720018e+18  1.24914585e+07  7.65886796e-20  10000.0
265  9.16990571e+18  1.24917042e+07  7.32385991e-20  10000.0
266  9.37719344e+18  1.24919500e+07  7.00350551e-20  10000.0
267  9.58916696e+18  1.24921957e+07  6.69716379e-20  10000.0
268  9.80593218e+18  1.24924415e+07  6.40422183e-20  10000.0
269  1.00275974e+19  1.24926872e+07  6.12409350e-20  10000.0
270  1.02542735e+19  1.24929330e+07  5.85621832e-20  10000.0
271  1.04860736e+19  1.24931787e+07  5.60006032e-20  10000.0
272  1.07231136e+19  1.24934245e+07  5.35510698e-20  10000.0
273  1.09655119e+19  1.24936703e+07  5.12086819e-20  10000.0
274  1.12133897e+19  1.24939161e+07  4.89687529e-20  10000.0
275  1.14668709e+19  1.24941619e+07  4.68268010e-20  10000.0
276  1.17260820e+19  1.24944077e+07  4.47785407e-20  10000.0
277  1.19911526e+19  1.24946535e+07  4.28198737e-20  10000.0
278  1.22622153e+19  1.24948993e+07  4.09468812e-20  10000.0
279  1.25394054e+19  1.24951451e+07  3.91558156e-20  10000.0
280  1.28228614e+19  1.24953909e+07  3.74430933e-20  10000.0
281  1.31127250e+19  1.24956367e+07  3.58052876e-20  10000.0
282  1.34091410e+19  1.24958825e+07  3.42391215e-20  10000.0
283  1.37122576e+19  1.24961283e+07  3.27414613e-20  10000.0
284  1.40222262e+19  1.24963742e+07  3.13093106e-20  10000.0
285  1.43392017e+19  1.24966200e+07  2.99398039e-20  10000.0
286  1.46633425e+19  1.24968658e+07  2.86302010e-20  10000.0
287  1.49948105e+19  1.24971117e+07  2.73778818e-20  10000.0
288  1.53337715e+19  1.24973575e+07  2.61803405e-20  10000.0
289  1.56803948e+19  1.24976034e+07  2.50351810e-20  10000.0
290  1.60348536e+19  1.24978492e+07  2.39401122e-20  10000.0
291  1.63973250e+19  1.24980951e+07  2.28929431e-20  10000.0
292  1.67679901e+19  1.24983410e+07  2.18915783e-20  10000.0
293  1.71470342e+19  1.24985332e+07  2.09340145e-20  10000.0
294  1.75346467e+19  1.24985469e+07  2.00186075e-20  10000.0
295  1.79310212e+19  1.24985605e+07  1.91433254e-20  10000.0
296  1.83363559e+19  1.24985742e+07  1.83063135e-20  10000.0
297  1.87508532e+19  1.24985878e+07  1.75058987e-20  10000.0
298  1.91747204e+19  1.24986015e+07  1.67404807e-20  10000.0
299  1.96081692e+19  1.24986151e+07  1.60085295e-20  10000.0
300  2.00514161e+19  1.24986288e+07  1.53085817e-20  10000.0
301  2.05046828e+19  1.24986425e+07  1.46392380e-20  10000.0
